head,relation,tail
Sumerian Civilization,influencedRegion,Anatolia
Sumerian Civilization,influencedRegion,Italian Peninsula
Sumerian Civilization,influencedRegion,Iberian Peninsula
Sumerian Civilization,influencedRegion,Balkan Peninsula
Sumerian Civilization,influencedRegion,Arabian Peninsula
Sumerian Civilization,influencedRegion,Mesoamerica
Sumerian Civilization,influencedRegion,Andes Mountains
Sumerian Civilization,influencedRegion,Central Asia
Sumerian Civilization,influencedRegion,East Asia
Sumerian Civilization,influencedRegion,South Asia
Sumerian Civilization,influencedRegion,Western Europe
Sumerian Civilization,influencedRegion,Eastern Europe
Phoenician Civilization,influencedRegion,Nile Valley
Phoenician Civilization,influencedRegion,Mesopotamia
Phoenician Civilization,influencedRegion,Indus Valley
Phoenician Civilization,influencedRegion,Yellow River Valley
Phoenician Civilization,influencedRegion,Mediterranean Basin
Phoenician Civilization,influencedRegion,Anatolia
Phoenician Civilization,influencedRegion,Italian Peninsula
Phoenician Civilization,influencedRegion,Iberian Peninsula
Phoenician Civilization,influencedRegion,Balkan Peninsula
Phoenician Civilization,influencedRegion,Arabian Peninsula
Phoenician Civilization,influencedRegion,Mesoamerica
Phoenician Civilization,influencedRegion,Andes Mountains
Phoenician Civilization,influencedRegion,Central Asia
Phoenician Civilization,influencedRegion,East Asia
Phoenician Civilization,influencedRegion,South Asia
Phoenician Civilization,influencedRegion,Western Europe
Phoenician Civilization,influencedRegion,Eastern Europe
Cleopatra,associatedWithCivilization,Ancient Egypt
Cleopatra,livedInPeriod,Bronze Age
Cleopatra,bornInRegion,Nile Valley
Cleopatra,hasRole,king
Julius Caesar,associatedWithCivilization,Ancient Greece
Julius Caesar,livedInPeriod,Iron Age
Julius Caesar,bornInRegion,Mesopotamia
Julius Caesar,hasRole,queen
Augustus,associatedWithCivilization,Roman Empire
Augustus,livedInPeriod,Classical Antiquity
Augustus,bornInRegion,Indus Valley
Augustus,hasRole,emperor
Genghis Khan,associatedWithCivilization,Byzantine Empire
Genghis Khan,livedInPeriod,Middle Ages
Genghis Khan,bornInRegion,Yellow River Valley
Genghis Khan,hasRole,pharaoh
Kublai Khan,associatedWithCivilization,Ottoman Empire
Kublai Khan,livedInPeriod,Early Modern Period
Kublai Khan,bornInRegion,Mediterranean Basin
Kublai Khan,hasRole,politician
Ashoka,associatedWithCivilization,Mughal Empire
Ashoka,livedInPeriod,Modern Era
Ashoka,bornInRegion,Anatolia
Ashoka,hasRole,general
Akbar,associatedWithCivilization,Maurya Empire
Akbar,livedInPeriod,Bronze Age
Akbar,bornInRegion,Italian Peninsula
Akbar,hasRole,revolutionary
Suleiman the Magnificent,associatedWithCivilization,Gupta Empire
Suleiman the Magnificent,livedInPeriod,Iron Age
Suleiman the Magnificent,bornInRegion,Iberian Peninsula
Suleiman the Magnificent,hasRole,philosopher
Alexander the Great,associatedWithCivilization,Han Dynasty
Alexander the Great,livedInPeriod,Classical Antiquity
Alexander the Great,bornInRegion,Balkan Peninsula
Alexander the Great,hasRole,king
Napoleon Bonaparte,associatedWithCivilization,Qing Dynasty
Napoleon Bonaparte,livedInPeriod,Middle Ages
Napoleon Bonaparte,bornInRegion,Arabian Peninsula
Napoleon Bonaparte,hasRole,queen
George Washington,associatedWithCivilization,Ming Dynasty
George Washington,livedInPeriod,Early Modern Period
George Washington,bornInRegion,Mesoamerica
George Washington,hasRole,emperor
Abraham Lincoln,associatedWithCivilization,Song Dynasty
Abraham Lincoln,livedInPeriod,Modern Era
Abraham Lincoln,bornInRegion,Andes Mountains
Abraham Lincoln,hasRole,pharaoh
Mahatma Gandhi,associatedWithCivilization,Aztec Empire
Mahatma Gandhi,livedInPeriod,Bronze Age
Mahatma Gandhi,bornInRegion,Central Asia
Mahatma Gandhi,hasRole,politician
Nelson Mandela,associatedWithCivilization,Inca Empire
Nelson Mandela,livedInPeriod,Iron Age
Nelson Mandela,bornInRegion,East Asia
Nelson Mandela,hasRole,general
Winston Churchill,associatedWithCivilization,Maya Civilization
Winston Churchill,livedInPeriod,Classical Antiquity
Winston Churchill,bornInRegion,South Asia
Winston Churchill,hasRole,revolutionary
Charlemagne,associatedWithCivilization,Babylonian Empire
Charlemagne,livedInPeriod,Middle Ages
Charlemagne,bornInRegion,Western Europe
Charlemagne,hasRole,philosopher
Cyrus the Great,associatedWithCivilization,Persian Empire
Cyrus the Great,livedInPeriod,Early Modern Period
Cyrus the Great,bornInRegion,Eastern Europe
Cyrus the Great,hasRole,king
Darius the Great,associatedWithCivilization,Achaemenid Empire
Darius the Great,livedInPeriod,Modern Era
Darius the Great,bornInRegion,Nile Valley
Darius the Great,hasRole,queen
Ramses II,associatedWithCivilization,Sumerian Civilization
Ramses II,livedInPeriod,Bronze Age
Ramses II,bornInRegion,Mesopotamia
Ramses II,hasRole,emperor
Pericles,associatedWithCivilization,Phoenician Civilization
Pericles,livedInPeriod,Iron Age
Pericles,bornInRegion,Indus Valley
Pericles,hasRole,pharaoh
Hammurabi,associatedWithCivilization,Ancient Egypt
Hammurabi,livedInPeriod,Classical Antiquity
Hammurabi,bornInRegion,Yellow River Valley
Hammurabi,hasRole,politician
Marcus Aurelius,associatedWithCivilization,Ancient Greece
Marcus Aurelius,livedInPeriod,Middle Ages
Marcus Aurelius,bornInRegion,Mediterranean Basin
Marcus Aurelius,hasRole,general
Constantine the Great,associatedWithCivilization,Roman Empire
Constantine the Great,livedInPeriod,Early Modern Period
Constantine the Great,bornInRegion,Anatolia
Constantine the Great,hasRole,revolutionary
Joan of Arc,associatedWithCivilization,Byzantine Empire
Joan of Arc,livedInPeriod,Modern Era
Joan of Arc,bornInRegion,Italian Peninsula
Joan of Arc,hasRole,philosopher
Tokugawa Ieyasu,associatedWithCivilization,Ottoman Empire
Tokugawa Ieyasu,livedInPeriod,Bronze Age
Tokugawa Ieyasu,bornInRegion,Iberian Peninsula
Tokugawa Ieyasu,hasRole,king
Queen Victoria,associatedWithCivilization,Mughal Empire
Queen Victoria,livedInPeriod,Iron Age
Queen Victoria,bornInRegion,Balkan Peninsula
Queen Victoria,hasRole,queen
Louis XIV,associatedWithCivilization,Maurya Empire
Louis XIV,livedInPeriod,Classical Antiquity
Louis XIV,bornInRegion,Arabian Peninsula
Louis XIV,hasRole,emperor
Peter the Great,associatedWithCivilization,Gupta Empire
Peter the Great,livedInPeriod,Middle Ages
Peter the Great,bornInRegion,Mesoamerica
Peter the Great,hasRole,pharaoh
Catherine the Great,associatedWithCivilization,Han Dynasty
Catherine the Great,livedInPeriod,Early Modern Period
Catherine the Great,bornInRegion,Andes Mountains
Catherine the Great,hasRole,politician
Simon Bolivar,associatedWithCivilization,Qing Dynasty
Simon Bolivar,livedInPeriod,Modern Era
Simon Bolivar,bornInRegion,Central Asia
Simon Bolivar,hasRole,general
Mustafa Kemal Ataturk,associatedWithCivilization,Ming Dynasty
Mustafa Kemal Ataturk,livedInPeriod,Bronze Age
Mustafa Kemal Ataturk,bornInRegion,East Asia
Mustafa Kemal Ataturk,hasRole,revolutionary
Ho Chi Minh,associatedWithCivilization,Song Dynasty
Ho Chi Minh,livedInPeriod,Iron Age
Ho Chi Minh,bornInRegion,South Asia
Ho Chi Minh,hasRole,philosopher
Chiang Kai-shek,associatedWithCivilization,Aztec Empire
Chiang Kai-shek,livedInPeriod,Classical Antiquity
Chiang Kai-shek,bornInRegion,Western Europe
Chiang Kai-shek,hasRole,king
Mao Zedong,associatedWithCivilization,Inca Empire
Mao Zedong,livedInPeriod,Middle Ages
Mao Zedong,bornInRegion,Eastern Europe
Mao Zedong,hasRole,queen
Sun Yat-sen,associatedWithCivilization,Maya Civilization
Sun Yat-sen,livedInPeriod,Early Modern Period
Sun Yat-sen,bornInRegion,Nile Valley
Sun Yat-sen,hasRole,emperor
Franklin D. Roosevelt,associatedWithCivilization,Babylonian Empire
Franklin D. Roosevelt,livedInPeriod,Modern Era
Franklin D. Roosevelt,bornInRegion,Mesopotamia
Franklin D. Roosevelt,hasRole,pharaoh
Theodore Roosevelt,associatedWithCivilization,Persian Empire
Theodore Roosevelt,livedInPeriod,Bronze Age
Theodore Roosevelt,bornInRegion,Indus Valley
Theodore Roosevelt,hasRole,politician
Adolf Hitler,associatedWithCivilization,Achaemenid Empire
Adolf Hitler,livedInPeriod,Iron Age
Adolf Hitler,bornInRegion,Yellow River Valley
Adolf Hitler,hasRole,general
Joseph Stalin,associatedWithCivilization,Sumerian Civilization
Joseph Stalin,livedInPeriod,Classical Antiquity
Joseph Stalin,bornInRegion,Mediterranean Basin
Joseph Stalin,hasRole,revolutionary
Leon Trotsky,associatedWithCivilization,Phoenician Civilization
Leon Trotsky,livedInPeriod,Middle Ages
Leon Trotsky,bornInRegion,Anatolia
Leon Trotsky,hasRole,philosopher
John F. Kennedy,associatedWithCivilization,Ancient Egypt
John F. Kennedy,livedInPeriod,Early Modern Period
John F. Kennedy,bornInRegion,Italian Peninsula
John F. Kennedy,hasRole,king
Martin Luther King Jr.,associatedWithCivilization,Ancient Greece
Martin Luther King Jr.,livedInPeriod,Modern Era
Martin Luther King Jr.,bornInRegion,Iberian Peninsula
Martin Luther King Jr.,hasRole,queen
Che Guevara,associatedWithCivilization,Roman Empire
Che Guevara,livedInPeriod,Bronze Age
Che Guevara,bornInRegion,Balkan Peninsula
Che Guevara,hasRole,emperor
Fidel Castro,associatedWithCivilization,Byzantine Empire
Fidel Castro,livedInPeriod,Iron Age
Fidel Castro,bornInRegion,Arabian Peninsula
Fidel Castro,hasRole,pharaoh
Imhotep,associatedWithCivilization,Ottoman Empire
Imhotep,livedInPeriod,Classical Antiquity
Imhotep,bornInRegion,Mesoamerica
Imhotep,hasRole,politician
Tutankhamun,associatedWithCivilization,Mughal Empire
Tutankhamun,livedInPeriod,Middle Ages
Tutankhamun,bornInRegion,Andes Mountains
Tutankhamun,hasRole,general
Nefertiti,associatedWithCivilization,Maurya Empire
Nefertiti,livedInPeriod,Early Modern Period
Nefertiti,bornInRegion,Central Asia
Nefertiti,hasRole,revolutionary
Hatshepsut,associatedWithCivilization,Gupta Empire
Hatshepsut,livedInPeriod,Modern Era
Hatshepsut,bornInRegion,East Asia
Hatshepsut,hasRole,philosopher
Battle of Waterloo,occurredInYear,1200
Battle of Waterloo,occurredInRegion,Nile Valley
Battle of Waterloo,belongsToPeriod,Bronze Age
French Revolution,occurredInYear,1210
French Revolution,occurredInRegion,Mesopotamia
French Revolution,belongsToPeriod,Iron Age
American Revolution,occurredInYear,1220
American Revolution,occurredInRegion,Indus Valley
American Revolution,belongsToPeriod,Classical Antiquity
World War I,occurredInYear,1230
World War I,occurredInRegion,Yellow River Valley
World War I,belongsToPeriod,Middle Ages
World War II,occurredInYear,1240
World War II,occurredInRegion,Mediterranean Basin
World War II,belongsToPeriod,Early Modern Period
Fall of Constantinople,occurredInYear,1250
Fall of Constantinople,occurredInRegion,Anatolia
Fall of Constantinople,belongsToPeriod,Modern Era
Discovery of America,occurredInYear,1260
Discovery of America,occurredInRegion,Italian Peninsula
Discovery of America,belongsToPeriod,Bronze Age
Industrial Revolution,occurredInYear,1270
Industrial Revolution,occurredInRegion,Iberian Peninsula
Industrial Revolution,belongsToPeriod,Iron Age
Fall of the Berlin Wall,occurredInYear,1280
Fall of the Berlin Wall,occurredInRegion,Balkan Peninsula
Fall of the Berlin Wall,belongsToPeriod,Classical Antiquity
Russian Revolution,occurredInYear,1290
Russian Revolution,occurredInRegion,Arabian Peninsula
Russian Revolution,belongsToPeriod,Middle Ages
Meiji Restoration,occurredInYear,1300
Meiji Restoration,occurredInRegion,Mesoamerica
Meiji Restoration,belongsToPeriod,Early Modern Period
Unification of Germany,occurredInYear,1310
Unification of Germany,occurredInRegion,Andes Mountains
Unification of Germany,belongsToPeriod,Modern Era
Unification of Italy,occurredInYear,1320
Unification of Italy,occurredInRegion,Central Asia
Unification of Italy,belongsToPeriod,Bronze Age
Partition of India,occurredInYear,1330
Partition of India,occurredInRegion,East Asia
Partition of India,belongsToPeriod,Iron Age
Signing of Magna Carta,occurredInYear,1340
Signing of Magna Carta,occurredInRegion,South Asia
Signing of Magna Carta,belongsToPeriod,Classical Antiquity
Crusades,occurredInYear,1350
Crusades,occurredInRegion,Western Europe
Crusades,belongsToPeriod,Middle Ages
Peloponnesian War,occurredInYear,1360
Peloponnesian War,occurredInRegion,Eastern Europe
Peloponnesian War,belongsToPeriod,Early Modern Period
Punic Wars,occurredInYear,1370
Punic Wars,occurredInRegion,Nile Valley
Punic Wars,belongsToPeriod,Modern Era
Hundred Years' War,occurredInYear,1380
Hundred Years' War,occurredInRegion,Mesopotamia
Hundred Years' War,belongsToPeriod,Bronze Age
Thirty Years' War,occurredInYear,1390
Thirty Years' War,occurredInRegion,Indus Valley
Thirty Years' War,belongsToPeriod,Iron Age
Opium Wars,occurredInYear,1400
Opium Wars,occurredInRegion,Yellow River Valley
Opium Wars,belongsToPeriod,Classical Antiquity
Boxer Rebellion,occurredInYear,1410
Boxer Rebellion,occurredInRegion,Mediterranean Basin
Boxer Rebellion,belongsToPeriod,Middle Ages
Taiping Rebellion,occurredInYear,1420
Taiping Rebellion,occurredInRegion,Anatolia
Taiping Rebellion,belongsToPeriod,Early Modern Period
Great Depression,occurredInYear,1430
Great Depression,occurredInRegion,Italian Peninsula
Great Depression,belongsToPeriod,Modern Era
Moon Landing,occurredInYear,1440
Moon Landing,occurredInRegion,Iberian Peninsula
Moon Landing,belongsToPeriod,Bronze Age
Cuban Missile Crisis,occurredInYear,1450
Cuban Missile Crisis,occurredInRegion,Balkan Peninsula
Cuban Missile Crisis,belongsToPeriod,Iron Age
Vietnam War,occurredInYear,1460
Vietnam War,occurredInRegion,Arabian Peninsula
Vietnam War,belongsToPeriod,Classical Antiquity
Korean War,occurredInYear,1470
Korean War,occurredInRegion,Mesoamerica
Korean War,belongsToPeriod,Middle Ages
Gulf War,occurredInYear,1480
Gulf War,occurredInRegion,Andes Mountains
Gulf War,belongsToPeriod,Early Modern Period
Iraq War,occurredInYear,1490
Iraq War,occurredInRegion,Central Asia
Iraq War,belongsToPeriod,Modern Era
Spanish Civil War,occurredInYear,1500
Spanish Civil War,occurredInRegion,East Asia
Spanish Civil War,belongsToPeriod,Bronze Age
Nine Years' War,occurredInYear,1510
Nine Years' War,occurredInRegion,South Asia
Nine Years' War,belongsToPeriod,Iron Age
Glorious Revolution,occurredInYear,1520
Glorious Revolution,occurredInRegion,Western Europe
Glorious Revolution,belongsToPeriod,Classical Antiquity
English Civil War,occurredInYear,1530
English Civil War,occurredInRegion,Eastern Europe
English Civil War,belongsToPeriod,Middle Ages
First Sino-Japanese War,occurredInYear,1540
First Sino-Japanese War,occurredInRegion,Nile Valley
First Sino-Japanese War,belongsToPeriod,Early Modern Period
War of the Roses,occurredInYear,1550
War of the Roses,occurredInRegion,Mesopotamia
War of the Roses,belongsToPeriod,Modern Era
American Civil War,occurredInYear,1560
American Civil War,occurredInRegion,Indus Valley
American Civil War,belongsToPeriod,Bronze Age
Reign of Terror,occurredInYear,1570
Reign of Terror,occurredInRegion,Yellow River Valley
Reign of Terror,belongsToPeriod,Iron Age
Storming of the Bastille,occurredInYear,1580
Storming of the Bastille,occurredInRegion,Mediterranean Basin
Storming of the Bastille,belongsToPeriod,Classical Antiquity
Cleopatra,involvedIn,Battle of Waterloo
Ashoka,involvedIn,Battle of Waterloo
Julius Caesar,involvedIn,French Revolution
Akbar,involvedIn,French Revolution
Augustus,involvedIn,American Revolution
Suleiman the Magnificent,involvedIn,American Revolution
Genghis Khan,involvedIn,World War I
Alexander the Great,involvedIn,World War I
Kublai Khan,involvedIn,World War II
Napoleon Bonaparte,involvedIn,World War II
Ashoka,involvedIn,Fall of Constantinople
George Washington,involvedIn,Fall of Constantinople
Akbar,involvedIn,Discovery of America
Abraham Lincoln,involvedIn,Discovery of America
Suleiman the Magnificent,involvedIn,Industrial Revolution
Mahatma Gandhi,involvedIn,Industrial Revolution
Alexander the Great,involvedIn,Fall of the Berlin Wall
Nelson Mandela,involvedIn,Fall of the Berlin Wall
Napoleon Bonaparte,involvedIn,Russian Revolution
Winston Churchill,involvedIn,Russian Revolution
George Washington,involvedIn,Meiji Restoration
Charlemagne,involvedIn,Meiji Restoration
Abraham Lincoln,involvedIn,Unification of Germany
Cyrus the Great,involvedIn,Unification of Germany
Mahatma Gandhi,involvedIn,Unification of Italy
Darius the Great,involvedIn,Unification of Italy
Nelson Mandela,involvedIn,Partition of India
Ramses II,involvedIn,Partition of India
Winston Churchill,involvedIn,Signing of Magna Carta
Pericles,involvedIn,Signing of Magna Carta
Charlemagne,involvedIn,Crusades
Hammurabi,involvedIn,Crusades
Cyrus the Great,involvedIn,Peloponnesian War
Marcus Aurelius,involvedIn,Peloponnesian War
Darius the Great,involvedIn,Punic Wars
Constantine the Great,involvedIn,Punic Wars
Ramses II,involvedIn,Hundred Years' War
Joan of Arc,involvedIn,Hundred Years' War
Pericles,involvedIn,Thirty Years' War
Tokugawa Ieyasu,involvedIn,Thirty Years' War
Hammurabi,involvedIn,Opium Wars
Queen Victoria,involvedIn,Opium Wars
Marcus Aurelius,involvedIn,Boxer Rebellion
Louis XIV,involvedIn,Boxer Rebellion
Constantine the Great,involvedIn,Taiping Rebellion
Peter the Great,involvedIn,Taiping Rebellion
Joan of Arc,involvedIn,Great Depression
Catherine the Great,involvedIn,Great Depression
Tokugawa Ieyasu,involvedIn,Moon Landing
Simon Bolivar,involvedIn,Moon Landing
Queen Victoria,involvedIn,Cuban Missile Crisis
Mustafa Kemal Ataturk,involvedIn,Cuban Missile Crisis
Louis XIV,involvedIn,Vietnam War
Ho Chi Minh,involvedIn,Vietnam War
Peter the Great,involvedIn,Korean War
Chiang Kai-shek,involvedIn,Korean War
Catherine the Great,involvedIn,Gulf War
Mao Zedong,involvedIn,Gulf War
Simon Bolivar,involvedIn,Iraq War
Sun Yat-sen,involvedIn,Iraq War
Mustafa Kemal Ataturk,involvedIn,Spanish Civil War
Franklin D. Roosevelt,involvedIn,Spanish Civil War
Ho Chi Minh,involvedIn,Nine Years' War
Theodore Roosevelt,involvedIn,Nine Years' War
Chiang Kai-shek,involvedIn,Glorious Revolution
Adolf Hitler,involvedIn,Glorious Revolution
Mao Zedong,involvedIn,English Civil War
Joseph Stalin,involvedIn,English Civil War
Sun Yat-sen,involvedIn,First Sino-Japanese War
Leon Trotsky,involvedIn,First Sino-Japanese War
Franklin D. Roosevelt,involvedIn,War of the Roses
John F. Kennedy,involvedIn,War of the Roses
Theodore Roosevelt,involvedIn,American Civil War
Martin Luther King Jr.,involvedIn,American Civil War
Adolf Hitler,involvedIn,Reign of Terror
Che Guevara,involvedIn,Reign of Terror
Joseph Stalin,involvedIn,Storming of the Bastille
Fidel Castro,involvedIn,Storming of the Bastille
